link,1,http://t.co/c6aimyLByS
link,1,http://t.co/llE52SxVRI
hashtag,1,#world
hashtag,1,#rt
link,1,http://t.co/gorOIBSrFt
hashtag,1,#headlines
link,1,http://t.co/8iWvtaO5kd
hashtag,4,#Olle_Carly
link,2,http://t.co/JD1MXqJVVo
at,2,@americamag
hashtag,29,#Pope
link,1,http://t.co/grapS4g6Ps
at,1,@willyfelipe1
hashtag,1,#willyfelipe
link,1,http://t.co/xJn6inNjZr
link,1,http://t.co/xCFUAU6qXh
link,2,http://t.co/mTb3rE57Eh
at,1,@blader809
hashtag,1,#blader809
link,1,http://t.co/Li5Pmv1LHU
link,1,month.\nhttp://t.co/YcIrBUa4D2
link,1,http://t.co/fxPEU6fpbl
link,1,http://t.co/8SjH2JGwe9
hashtag,2,#DmArgeniis_x3
link,1,http://t.co/SmvzxFpfjA
link,1,http://t.co/BgcM91Fasq
link,1,http://t.co/PH65vfu44x
link,1,http://t.co/JWUnCqZnth
link,2,http://t.co/6gNeQCj
link,1,http://t.co/1Wl6IBuKL9
link,1,http://t.co/DRNdVrJr8q
link,1,http://t.co/KuIsxCPb8c
link,1,http://t.co/aTMR9GuABj
link,1,http://t.co/Z3gOAto9bj
link,1,http://t.co/rfNjaw65vz
at,1,@RossR5
hashtag,1,#US
hashtag,1,#Albert_Stanlie
link,1,http://t.co/5CQurFtlm0
link,1,http://t.co/DkD5ZrN6QX
at,1,@romereports
link,1,http://t.co/2MSknKkQzy
link,1,http://t.co/zYI5HaMghu
link,1,http://t.co/JkCQJsNdcH
link,2,http://t.co/ARJ5BnHGnQ
link,4,http://t.co/TSsba9t6xg
link,1,http://t.co/sH8Qt0wTYr
hashtag,1,#cdnpoli
hashtag,1,#yyc
hashtag,1,#yeg
hashtag,1,#topoli
hashtag,1,#israel
hashtag,1,#lpc
link,1,http://t.co/xLdNWyXGwN
at,1,@townhallcom
link,2,http://t.co/rr7QdGECTp
link,1,http://t.co/kED9QIdfDT
link,1,http://t.co/ouoGTi696p
link,1,http://t.co/i3vUFelfrH
at,1,@guardian
link,2,http://t.co/oV44YgzjgQ
hashtag,3,~[#OyeGuerrero]
link,1,http://t.co/XCfVn2wdys
link,1,(http://t.co/nKhMTmKUBt)
link,1,http://t.co/dErCya2w2M
link,1,http://t.co/t6XFbcrO43
link,1,Vatican\nhttp://t.co/DZwoTBlHPL
link,1,http://t.co/UUv8AIlT5N
link,1,http://t.co/TgwEBTLIXt
link,1,http://t.co/yHJiG5tGlR
at,1,@officialR5
link,1,http://t.co/kzwzYDzJx0
link,27,http://t.co/33GRPZJqdf
link,1,http://t.co/0Yt7iT0XTL
link,1,http://t.co/XuAzpRCeR1
hashtag,2,(#iUnGalan_)
link,1,http://t.co/IPEs89kXhg
link,1,http://t.co/dljPn3KtA7
link,2,http://t.co/eO4EAS3
